date,Stock,cumulative_return
2024-12-03,ADANIPORTS,1.6919776361981542
2024-12-04,ADANIPORTS,1.7477571187101817
2024-12-06,ADANIPORTS,1.8124431153296068
2024-12-07,ADANIPORTS,1.933038616564817
2024-12-08,ADANIPORTS,1.95215186581719
2024-12-09,ADANIPORTS,1.91470549993499
2024-12-11,ADANIPORTS,1.7240930958262914
2023-01-11,APOLLOHOSP,0.0
2023-01-12,APOLLOHOSP,1.165660735320178
2023-02-11,APOLLOHOSP,1.018857303687025
2023-03-10,APOLLOHOSP,1.0672149774316957
2023-03-11,APOLLOHOSP,1.0743555263679103
2023-04-10,APOLLOHOSP,1.0522980058583773
2023-04-12,APOLLOHOSP,1.1722071071916274
2023-05-10,APOLLOHOSP,1.0522250367451609
2023-05-12,APOLLOHOSP,1.1633778444923957
2023-06-10,APOLLOHOSP,1.0549770147293365
2023-06-11,APOLLOHOSP,1.076805203740188
2023-06-12,APOLLOHOSP,1.1556431184914158
2023-07-11,APOLLOHOSP,1.070946826364783
2023-07-12,APOLLOHOSP,1.1386100426348102
2023-08-11,APOLLOHOSP,1.0655471119867403
2023-08-12,APOLLOHOSP,1.1581970374540034
2023-09-10,APOLLOHOSP,1.0522771575403154
2023-09-11,APOLLOHOSP,1.1044604976493522
2023-10-10,APOLLOHOSP,1.0563217312443318
2023-10-11,APOLLOHOSP,1.1004784688995215
2023-11-10,APOLLOHOSP,1.0617735664175294
2023-11-12,APOLLOHOSP,1.1565291720090485
2023-12-10,APOLLOHOSP,1.0411337315362084
2023-12-11,APOLLOHOSP,1.0998634435166943
2023-12-12,APOLLOHOSP,1.1318447634237108
2024-01-01,APOLLOHOSP,1.1987887127206012
2024-01-02,APOLLOHOSP,1.3109318155757783
2024-01-03,APOLLOHOSP,1.2687035473413182
2024-01-04,APOLLOHOSP,1.3462280180546435
2024-01-07,APOLLOHOSP,1.2801909705934476
2024-01-08,APOLLOHOSP,1.398171602505968
2024-01-10,APOLLOHOSP,1.4913531600838106
2024-01-11,APOLLOHOSP,1.466043301956615
2024-02-01,APOLLOHOSP,1.1980173249523098
2024-02-02,APOLLOHOSP,1.3177283672639712
2024-02-03,APOLLOHOSP,1.278689891692988
2024-02-04,APOLLOHOSP,1.338409898781416
2024-02-05,APOLLOHOSP,1.242257455879747
2024-02-07,APOLLOHOSP,1.271247042144875
2024-02-08,APOLLOHOSP,1.3989534144332905
2024-02-09,APOLLOHOSP,1.4343747068205273
2024-03-01,APOLLOHOSP,1.2025935307669051
2024-03-04,APOLLOHOSP,1.3290907006077284
2024-03-05,APOLLOHOSP,1.2529005222503675
2024-03-06,APOLLOHOSP,1.219876786440254
2024-03-07,APOLLOHOSP,1.2910737926217803
2024-03-09,APOLLOHOSP,1.4270360988627246
2024-03-10,APOLLOHOSP,1.4397744211985704
2024-04-01,APOLLOHOSP,1.2013217833651273
2024-04-03,APOLLOHOSP,1.2578415736310478
2024-04-04,APOLLOHOSP,1.3427567730973309
2024-04-06,APOLLOHOSP,1.2187301289468475
2024-04-07,APOLLOHOSP,1.2978182235148183
2024-04-09,APOLLOHOSP,1.4449760765550244
2024-04-10,APOLLOHOSP,1.4121816722435925
2024-04-11,APOLLOHOSP,1.450709364022058
2024-05-01,APOLLOHOSP,1.199664342079203
2024-05-02,APOLLOHOSP,1.2997883895716715
2024-05-03,APOLLOHOSP,1.263637406052267
2024-05-04,APOLLOHOSP,1.3338232688077891
2024-05-06,APOLLOHOSP,1.2372747078629434
2024-05-07,APOLLOHOSP,1.3193962327089266
2024-05-08,APOLLOHOSP,1.3942521187103234
2024-05-09,APOLLOHOSP,1.44568491936913
2024-05-11,APOLLOHOSP,1.452356381148951
2024-06-02,APOLLOHOSP,1.2920328152526297
2024-06-03,APOLLOHOSP,1.2622197204240548
2024-06-05,APOLLOHOSP,1.262720080057541
2024-06-06,APOLLOHOSP,1.242976722852884
2024-06-08,APOLLOHOSP,1.3880184716098027
2024-06-09,APOLLOHOSP,1.4399516319020964
2024-06-11,APOLLOHOSP,1.452731650874066
2024-07-02,APOLLOHOSP,1.287998665707644
2024-07-03,APOLLOHOSP,1.261073062930648
2024-07-05,APOLLOHOSP,1.2301028864496355
2024-07-06,APOLLOHOSP,1.2539325139944335
2024-07-08,APOLLOHOSP,1.4010799428756089
2024-07-10,APOLLOHOSP,1.4120878548123132
2024-07-11,APOLLOHOSP,1.5479563436219783
2024-08-01,APOLLOHOSP,1.184601432279451
2024-08-02,APOLLOHOSP,1.2990586984395034
2024-08-04,APOLLOHOSP,1.3150597825520425
2024-08-05,APOLLOHOSP,1.2188969154913427
2024-08-07,APOLLOHOSP,1.3170820694040508
2024-08-08,APOLLOHOSP,1.363876119294076
2024-08-10,APOLLOHOSP,1.443600087562936
2024-08-11,APOLLOHOSP,1.5472370766488412
2024-09-01,APOLLOHOSP,1.2087125121180848
2024-09-02,APOLLOHOSP,1.3420792027603174
2024-09-04,APOLLOHOSP,1.356193514088251
2024-09-05,APOLLOHOSP,1.2105367399485047
2024-09-07,APOLLOHOSP,1.3176762464688163
2024-09-08,APOLLOHOSP,1.3734559214435378
2024-09-09,APOLLOHOSP,1.430340557275542
2024-09-10,APOLLOHOSP,1.4612377646433377
2024-10-01,APOLLOHOSP,1.209390082455098
2024-10-04,APOLLOHOSP,1.3530245697428362
2024-10-05,APOLLOHOSP,1.2180525586098343
2024-10-06,APOLLOHOSP,1.2627200800575415
2024-10-07,APOLLOHOSP,1.3292262146751312
2024-10-09,APOLLOHOSP,1.4430267588162329
2024-10-10,APOLLOHOSP,1.4500109453669827
2024-11-01,APOLLOHOSP,1.2237754219178367
2024-11-03,APOLLOHOSP,1.293575590789213
2024-11-06,APOLLOHOSP,1.2734048430642857
2024-11-07,APOLLOHOSP,1.3320094651364
2024-11-09,APOLLOHOSP,1.4385860670690391
2024-11-10,APOLLOHOSP,1.4559214435375425
2024-11-11,APOLLOHOSP,1.491790974763111
2024-12-01,APOLLOHOSP,1.2083059699158771
2024-12-02,APOLLOHOSP,1.3790015740480135
2024-12-03,APOLLOHOSP,1.281087448270111
2024-12-04,APOLLOHOSP,1.3356579207972397
2024-12-06,APOLLOHOSP,1.2860493479688526
2024-12-07,APOLLOHOSP,1.324681281337628
2024-12-08,APOLLOHOSP,1.3556410336596092
2024-12-09,APOLLOHOSP,1.4722665248981035
2024-12-11,APOLLOHOSP,1.4634581105169338
2023-01-11,ASIANPAINT,0.0
2023-01-12,ASIANPAINT,1.0813923770254383
2023-02-11,ASIANPAINT,1.0071050075820824
2023-03-10,ASIANPAINT,1.07916034826464
2023-03-11,ASIANPAINT,1.014755243563749
2023-04-10,ASIANPAINT,1.0801996899013475
2023-04-12,ASIANPAINT,1.0885996149324428
2023-05-10,ASIANPAINT,1.092586597604403
2023-05-12,ASIANPAINT,1.099401952599206
2023-06-10,ASIANPAINT,1.089008536232131
2023-06-11,ASIANPAINT,1.0322877442878806
2023-06-12,ASIANPAINT,1.1083641444173724
2023-07-11,ASIANPAINT,1.0336678536743282
2023-07-12,ASIANPAINT,1.1081085686050671
2023-08-11,ASIANPAINT,1.0547613773832445
2023-08-12,ASIANPAINT,1.1013613671602116
2023-09-10,ASIANPAINT,1.0743725613807906
2023-09-11,ASIANPAINT,1.0496328227496543
2023-10-10,ASIANPAINT,1.0739295633061283
2023-10-11,ASIANPAINT,1.048354943688129
2023-11-10,ASIANPAINT,1.0781550834029066
2023-11-12,ASIANPAINT,1.1017021349099518
2023-12-10,ASIANPAINT,1.0765193982041537
2023-12-11,ASIANPAINT,1.0557496038574907
2023-12-12,ASIANPAINT,1.0988908009745957
2024-01-01,ASIANPAINT,1.1572813548925729
2024-01-02,ASIANPAINT,0.998228007701351
2024-01-03,ASIANPAINT,0.964969075326711
2024-01-04,ASIANPAINT,0.9783442095040124
2024-01-07,ASIANPAINT,0.997699817689254
2024-01-08,ASIANPAINT,1.0561585251571792
2024-01-10,ASIANPAINT,1.1168151846109289
2024-01-11,ASIANPAINT,1.001806069073623
2024-02-01,ASIANPAINT,1.155662708081307
2024-02-02,ASIANPAINT,1.0005963435620455
2024-02-03,ASIANPAINT,0.9711199332095212
2024-02-04,ASIANPAINT,0.9794346663031812
2024-02-05,ASIANPAINT,1.013920362576886
2024-02-07,ASIANPAINT,0.9969501286398256
2024-02-08,ASIANPAINT,1.0586631681177694
2024-02-09,ASIANPAINT,1.0737421410437715
2024-03-01,ASIANPAINT,1.1496140805234192
2024-03-04,ASIANPAINT,0.9777819427169412
2024-03-05,ASIANPAINT,0.9983643148012472
2024-03-06,ASIANPAINT,0.9767937162426948
2024-03-07,ASIANPAINT,0.9969330902523388
2024-03-09,ASIANPAINT,1.0750711352677584
2024-03-10,ASIANPAINT,1.0731798742567007
2024-04-01,ASIANPAINT,1.1517779557342696
2024-04-03,ASIANPAINT,0.9649690753267112
2024-04-04,ASIANPAINT,0.9944625240667226
2024-04-06,ASIANPAINT,0.9737949600449816
2024-04-07,ASIANPAINT,1.0001192687124094
