,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
BPCL,0.4079360390403331,0.746380453247494,0.7449496663415532,-0.2654228681418309,0.25031237790423494,0.774439657519277,0.32269888050854484,-0.563796128832188,0.4480023840476058,0.6535429669307707,1.0,0.4178002268918651,0.7359385143381945,0.8985196365696345,0.6921472949113645,0.5540257558975735,0.5695622552660288,0.641384568238439,-0.14295148549823714,0.37399378131314,0.6946830943793988,0.2477862140022551,0.09254857966845105,0.6000691811608478,-0.2922113280225482,0.5371283990981731,0.12786273002119625,0.4590746963717884,-0.10257629695137714,0.37347277826003245,0.4720350879208668,0.6347923983641086,-0.058835196365207516,0.819042399775751,0.8087427484352904,0.8063549713742915,0.5058617436964311,0.7004254908858043,0.5893609065859439,0.6811801470234224,0.8231101717544558,0.3893642368121342,0.78915104921098,0.4042475152596321,0.6427087921572535,0.4807208530019476,0.1674285451288297,0.7449164305484494,0.5013782638500581,0.4202059752301565
BRITANNIA,0.1809274631193593,0.43117805645768725,0.4662379877589647,0.2719749790811367,0.5767969419727426,0.6238765299192967,0.47907256914063506,0.03801250417070562,0.5409477839048843,0.6754463623616982,0.4178002268918651,1.0,0.4873668326983225,0.5079398182515968,0.4021894739101972,0.6581432763350795,0.6232721000734815,0.3876298854291088,0.4162960060750416,0.4046290137565737,0.7045685730729168,0.7169465906490236,0.7344534868159331,0.49237436053550826,-0.177797759043292,0.5238250165815106,0.6082375264938283,0.6484244629808856,0.31469150791173783,0.14531023531702256,0.6185916115606439,0.2942740943997696,0.18541634021495484,0.5967648855901214,0.25649669761544763,0.5347912828344233,0.15353792573847785,0.5582434183534014,0.20596248184197188,0.5902636576022314,0.43634591522172667,0.21951854181028055,0.16199911560096797,0.2834759129156583,0.3013884224378731,0.6185808186613009,0.049786683840351155,0.6831593697268384,0.7309855459488188,0.2962637881532784
CIPLA,0.13722635184481313,0.5455359302933311,0.765903186641543,-0.35787615946732854,0.16032236484942566,0.8309019713638596,0.33655531163590563,-0.31076881970898257,0.5751027719576987,0.8086893352746068,0.7359385143381945,0.4873668326983225,1.0,0.6829408424262162,0.6113311464224206,0.43975571142880937,0.6241960374812128,0.7708801730854955,-0.07270122062222834,0.4038901985180467,0.6388572861436329,0.3306686690948882,0.24038122253789615,0.6813407790774335,-0.4864644955803587,0.6467084812920444,0.1621294559404654,0.5333055795086676,-0.0844761846582255,0.2404540756644914,0.6635581805004623,0.6299829979059267,-0.24968335738599207,0.6793454786542392,0.6988105221634275,0.7546191255810036,0.3755690801898631,0.6419558161809484,0.6151854394449974,0.83786812935226,0.8788940286284926,0.18301042734715253,0.48259453083235726,0.39808850516629907,0.5623261017058173,0.67078839050349,-0.03514670680761577,0.8001312206039988,0.5138113326417654,0.5217394349728048
COALINDIA,0.4276513742666959,0.7645322029610272,0.6319148389232865,-0.16154326607761554,0.3542958196180853,0.7096096735265096,0.18297161918896918,-0.502170706901388,0.5430170821119964,0.612203043491445,0.8985196365696345,0.5079398182515968,0.6829408424262162,1.0,0.7108314871062839,0.5670830365909023,0.6104251140023595,0.5105291248518123,-0.08358460690381853,0.3214112101252612,0.7528964731142954,0.35089818162700454,0.21946033397035467,0.5277049458641178,-0.13841379153503788,0.49533549165073804,0.13656163237975222,0.4383978545353895,0.08100406423752962,0.3415228610587145,0.5103083314073605,0.6502435848955632,0.10028186372956531,0.7856399956100562,0.8440269939847065,0.8261709681055853,0.636664257321896,0.6476174643239654,0.5351478373613483,0.6364415776995199,0.6929784275761075,0.5121357850716435,0.818628617292978,0.4609641515762215,0.5117454703389337,0.4171173956274585,0.12376170849355331,0.6896915397669956,0.6360154972673249,0.3491850945332869
DRREDDY,0.2750100246742523,0.6516719956077087,0.7234007536299364,-0.10188777668209921,0.25425143591129956,0.5221212935188889,0.2679385676004079,-0.34019010285508294,0.5050080746816215,0.5571546035911514,0.6921472949113645,0.4021894739101972,0.6113311464224206,0.7108314871062839,1.0,0.40287615125010906,0.7148335774923359,0.6717513977579295,0.10256831192145517,0.6054723811933116,0.40750904872841026,0.15913910340422266,0.19661124952681047,0.6300563159606424,-0.3481712292429802,0.7403838406598484,0.31793289915458245,0.4520281850722131,0.09980485876958672,0.36362027149367054,0.4154278282063164,0.4960640861742182,-0.05860139879894931,0.7447459689745443,0.8098633779919072,0.7241789164708848,0.49992262282946204,0.7021914567812083,0.5203043046448852,0.6899711387403077,0.7534108366624537,0.33251165679564476,0.6436613667482927,0.28109811960753533,0.7108944623064138,0.6576209014794764,0.028115348329253585,0.5835594522313308,0.5782282157703569,0.6390782706736254
EICHERMOT,0.1808418415487646,0.5626533823796592,0.5625650535661317,-0.14182840069010688,0.6376262984619316,0.6603362460630827,0.33411933928303444,-0.1663324121877044,0.7205230977147931,0.7633623361985744,0.5540257558975735,0.6581432763350795,0.43975571142880937,0.5670830365909023,0.40287615125010906,1.0,0.7165305131286621,0.25205137722266363,0.4751015802428909,0.27668932970120347,0.6462589206164226,0.7383551583478309,0.14812491604502637,0.7254197134085059,-0.46984871741017237,0.24049183012042386,0.3889108820549144,0.7430321763073524,-0.040651336631679295,0.31846132853637943,0.7499144444023598,0.5024419229187346,-0.19128413856056825,0.7284871771219924,0.35665592499592585,0.6840350247980566,0.12962486262003267,0.40353866456692067,0.5765836399404474,0.5888472290734913,0.47704929134524493,-0.12589687401151428,0.30406336807537754,0.5234240856655845,0.21430912336616476,0.584342203387876,-0.2238695745952851,0.7503377710877656,0.6418621739228163,0.3127605003275853
GRASIM,0.14647403464700148,0.6547546960266823,0.6350011461971841,-0.19131978943021413,0.644846907221613,0.7181563698477332,0.38162929062278517,-0.09224328832008596,0.8226346952227525,0.8234959005225247,0.5695622552660288,0.6232721000734815,0.6241960374812128,0.6104251140023595,0.7148335774923359,0.7165305131286621,1.0,0.5439940327525745,0.3897324132222191,0.4272247752146131,0.6041500107564742,0.6114847251987932,0.2142368429804772,0.9101771493285333,-0.4779341166899687,0.5761642657904363,0.2714045422774674,0.7802932469010975,0.13242847796954743,0.3364233980758511,0.7876828401964466,0.6009063010292027,-0.08107271767266015,0.7608550620226474,0.5971622144780354,0.8203010870098717,0.4631307749273917,0.5612968312628012,0.7032507128768153,0.8355061344827557,0.6870421791848288,0.0294229437868548,0.4325994447518875,0.5940244666213186,0.4709614076888791,0.7817123092528607,-0.18241862980079024,0.8234425370538452,0.7677040209775962,0.7088378873276793
HCLTECH,0.2764243704670609,0.532568815207472,0.8189778640973988,-0.17983027982427138,0.1587690706609269,0.6471168267294058,0.5322863606030331,-0.20584676330478707,0.40468226298200916,0.5961173593541206,0.641384568238439,0.3876298854291088,0.7708801730854955,0.5105291248518123,0.6717513977579295,0.25205137722266363,0.5439940327525745,1.0,0.0925166371380483,0.6622425321286053,0.4551366626721128,0.16437284464180013,0.2254692499567915,0.6242511484218115,-0.3932550600620714,0.8440023498656612,0.2642950891271143,0.5235525741622238,0.2100260819961278,0.3939914335860339,0.3912281848102873,0.309925549545014,-0.1394671028686245,0.6419210313126086,0.5676554246517165,0.5425553694221105,0.3584904092270281,0.7334238494432282,0.40502090893468146,0.7726319945168414,0.8223440817002226,0.23688956744020745,0.3853089106153862,0.15844316990707671,0.7119093633093464,0.7412229265406101,0.20621162942390586,0.6600513559732385,0.5331621826309076,0.72979360670652
HDFCBANK,0.1804831984080781,0.253743375025139,0.1632891696308317,0.24437461924788578,0.605939288817952,0.10945324409126166,0.28674049277490704,0.35494340975611505,0.5023150683610839,0.24038011843085377,-0.14295148549823714,0.4162960060750416,-0.07270122062222834,-0.08358460690381853,0.10256831192145517,0.4751015802428909,0.3897324132222191,0.0925166371380483,1.0,0.4209191880685341,0.11734551095397529,0.41561361872579416,0.1977502284440371,0.37477507494275947,-0.18457804089857222,0.04805780398609511,0.4164422367257392,0.5824258634344713,0.4800474786071375,0.4521130035069818,0.39563571645031376,-0.10074765049856643,0.07582035832319994,0.29692973575513887,-0.2753383559779833,0.08347660218103363,-0.15079404220130938,0.12046363148595285,0.10827217561674023,0.20778824515419925,-0.015279426519203734,-0.23577777689326918,-0.2675371355689039,0.2073311189758355,-0.11990000101901864,0.3691669129778687,-0.020659969386466994,0.23902789268466335,0.5507912181502203,0.29164612917805965
HDFCLIFE,0.20671181725843338,0.46432284887172237,0.6160736247047407,0.24132773600594518,0.1502436912578047,0.40836978741013397,0.5637754371448942,0.03801495709927801,0.3382237747682164,0.3734292430453893,0.37399378131314,0.4046290137565737,0.4038901985180467,0.3214112101252612,0.6054723811933116,0.27668932970120347,0.4272247752146131,0.6622425321286053,0.4209191880685341,1.0,0.15023653406285684,0.026543309831150292,0.35399059759895213,0.4380385868601473,-0.1987095669500454,0.5930178401205805,0.690947468648728,0.3972359486342411,0.3330256054763322,0.5693885130340115,0.2129570523044529,0.19865046434442601,0.009802325776568796,0.5954547219598141,0.39229097424598697,0.2949272730286263,0.06951874353121848,0.795824469628505,0.16887344020857722,0.540349325628602,0.5874442420231302,0.23820533367366167,0.30202007708036904,-0.0661701705957597,0.49022825129323955,0.5184131029384643,0.29553711255844356,0.44060817509023753,0.45482939611785167,0.3537188010779542
HEROMOTOCO,0.47118827315435036,0.6720913775452326,0.5216423165250396,-0.052943065496467594,0.5948999749661477,0.7489724094221879,0.3036059300311766,-0.19524887922096526,0.5987450574875091,0.6993282563397699,0.6946830943793988,0.7045685730729168,0.6388572861436329,0.7528964731142954,0.40750904872841026,0.6462589206164226,0.6041500107564742,0.4551366626721128,0.11734551095397529,0.15023653406285684,1.0,0.6338621877356435,0.4264001987071085,0.5181609036394886,-0.13007622095977012,0.47678153845851656,0.12454587090616823,0.5907454123483165,0.18956967456463442,0.2592106501859581,0.664000126416387,0.4946866564016589,0.07683605801637226,0.616534788983884,0.46321139412450646,0.6955945004025029,0.5752534536478575,0.47113860566795085,0.4122436802213191,0.5900458269465813,0.5037825704652614,0.3385897550803268,0.5064579870174978,0.5666934309045866,0.4076570325027026,0.5477666184875456,0.1376054998157208,0.7154768524965522,0.7141646547890551,0.41823124368604714
HINDALCO,0.1391588159103811,0.2948140285516561,0.33498940439999203,-0.013832502179970731,0.6039026272360007,0.5804902726540513,0.3865389673721094,0.1752516850495122,0.5652609073207022,0.6748963833252538,0.2477862140022551,0.7169465906490236,0.3306686690948882,0.35089818162700454,0.15913910340422266,0.7383551583478309,0.6114847251987932,0.16437284464180013,0.41561361872579416,0.026543309831150292,0.6338621877356435,1.0,0.2946993864007619,0.5255181454734663,-0.2653900149445251,0.2309401702962054,0.2786769799834955,0.7852038780030178,0.213375805223573,0.025438062918703867,0.7073309470949806,0.3813376892537754,0.010954848581787788,0.4513680220305147,0.0904262817981736,0.45081235071893583,0.10169236244448447,0.14731288485612917,0.31637466092039473,0.48457548488565083,0.27300891732045357,-0.21113995910261368,-0.013156646145689621,0.5859614579543573,0.03531202508779592,0.53173375975744,-0.21158037584517395,0.6344270426023919,0.5900447119714899,0.2905306700205877
HINDUNILVR,0.061023900313138736,0.07979479015577068,0.04602844598380302,0.5867421667235692,0.25868215739474715,0.2534552819646798,0.36935354141907867,0.22880665233140948,0.14892588172819968,0.259286871471176,0.09254857966845105,0.7344534868159331,0.24038122253789615,0.21946033397035467,0.19661124952681047,0.14812491604502637,0.2142368429804772,0.2254692499567915,0.1977502284440371,0.35399059759895213,0.4264001987071085,0.2946993864007619,1.0,0.030619040344258653,0.19297678456627024,0.48822741298436384,0.6201166174498562,0.1739460989690892,0.3006438002841114,-0.06547383060583746,0.23408362713455053,0.00029391206418595664,0.35247246511123126,0.16710330009335173,0.04881771729953272,0.1345828675817297,0.06587438186282038,0.5105726476593608,-0.17866466643710208,0.26245977885095056,0.11423249614341895,0.4820404157108799,0.04591191659462469,-0.09864136251540434,0.2923355717143741,0.3289667906545173,0.31147503261206666,0.3000633195754623,0.40621787734702663,0.033569222415281354
