stock_name,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ_AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M_M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
HDFCLIFE,0.2067118172584333,0.4643228488717223,0.6160736247047407,0.2413277360059451,0.1502436912578047,0.4083697874101339,0.5637754371448942,0.038014957099278,0.3382237747682164,0.3734292430453893,0.37399378131314,0.4046290137565737,0.4038901985180467,0.3214112101252612,0.6054723811933116,0.2766893297012034,0.4272247752146131,0.6622425321286053,0.4209191880685341,1.0,0.1502365340628568,0.0265433098311502,0.3539905975989521,0.4380385868601473,-0.1987095669500454,0.5930178401205805,0.690947468648728,0.3972359486342411,0.3330256054763322,0.5693885130340115,0.2129570523044529,0.198650464344426,0.0098023257765687,0.5954547219598141,0.3922909742459869,0.2949272730286263,0.0695187435312184,0.795824469628505,0.1688734402085772,0.540349325628602,0.5874442420231302,0.2382053336736616,0.302020077080369,-0.0661701705957597,0.4902282512932395,0.5184131029384643,0.2955371125584435,0.4406081750902375,0.4548293961178516,0.3537188010779542
HEROMOTOCO,0.4711882731543503,0.6720913775452326,0.5216423165250396,-0.0529430654964675,0.5948999749661477,0.7489724094221879,0.3036059300311766,-0.1952488792209652,0.5987450574875091,0.6993282563397699,0.6946830943793988,0.7045685730729168,0.6388572861436329,0.7528964731142954,0.4075090487284102,0.6462589206164226,0.6041500107564742,0.4551366626721128,0.1173455109539752,0.1502365340628568,1.0,0.6338621877356435,0.4264001987071085,0.5181609036394886,-0.1300762209597701,0.4767815384585165,0.1245458709061682,0.5907454123483165,0.1895696745646344,0.2592106501859581,0.664000126416387,0.4946866564016589,0.0768360580163722,0.616534788983884,0.4632113941245064,0.6955945004025029,0.5752534536478575,0.4711386056679508,0.4122436802213191,0.5900458269465813,0.5037825704652614,0.3385897550803268,0.5064579870174978,0.5666934309045866,0.4076570325027026,0.5477666184875456,0.1376054998157208,0.7154768524965522,0.7141646547890551,0.4182312436860471
HINDALCO,0.1391588159103811,0.2948140285516561,0.334989404399992,-0.0138325021799707,0.6039026272360007,0.5804902726540513,0.3865389673721094,0.1752516850495122,0.5652609073207022,0.6748963833252538,0.2477862140022551,0.7169465906490236,0.3306686690948882,0.3508981816270045,0.1591391034042226,0.7383551583478309,0.6114847251987932,0.1643728446418001,0.4156136187257941,0.0265433098311502,0.6338621877356435,1.0,0.2946993864007619,0.5255181454734663,-0.2653900149445251,0.2309401702962054,0.2786769799834955,0.7852038780030178,0.213375805223573,0.0254380629187038,0.7073309470949806,0.3813376892537754,0.0109548485817877,0.4513680220305147,0.0904262817981736,0.4508123507189358,0.1016923624444844,0.1473128848561291,0.3163746609203947,0.4845754848856508,0.2730089173204535,-0.2111399591026136,-0.0131566461456896,0.5859614579543573,0.0353120250877959,0.53173375975744,-0.2115803758451739,0.6344270426023919,0.5900447119714899,0.2905306700205877
HINDUNILVR,0.0610239003131387,0.0797947901557706,0.046028445983803,0.5867421667235692,0.2586821573947471,0.2534552819646798,0.3693535414190786,0.2288066523314094,0.1489258817281996,0.259286871471176,0.092548579668451,0.7344534868159331,0.2403812225378961,0.2194603339703546,0.1966112495268104,0.1481249160450263,0.2142368429804772,0.2254692499567915,0.1977502284440371,0.3539905975989521,0.4264001987071085,0.2946993864007619,1.0,0.0306190403442586,0.1929767845662702,0.4882274129843638,0.6201166174498562,0.1739460989690892,0.3006438002841114,-0.0654738306058374,0.2340836271345505,0.0002939120641859,0.3524724651112312,0.1671033000933517,0.0488177172995327,0.1345828675817297,0.0658743818628203,0.5105726476593608,-0.178664666437102,0.2624597788509505,0.1142324961434189,0.4820404157108799,0.0459119165946246,-0.0986413625154043,0.2923355717143741,0.3289667906545173,0.3114750326120666,0.3000633195754623,0.4062178773470266,0.0335692224152813
ICICIBANK,0.149319003451451,0.6443583346479874,0.700440201484945,-0.4015654743892498,0.5693245722858984,0.7375604369240252,0.3768998742885551,-0.2046922973495534,0.8350020163444747,0.8656548361779357,0.6000691811608478,0.4923743605355082,0.6813407790774335,0.5277049458641178,0.6300563159606424,0.7254197134085059,0.9101771493285332,0.6242511484218115,0.3747750749427594,0.4380385868601473,0.5181609036394886,0.5255181454734663,0.0306190403442586,1.0,-0.6752204860676265,0.5414249495228831,0.2091182631236443,0.796139778806638,-0.0039552434940178,0.4135867690683225,0.8043230134330887,0.5761520688964193,-0.3161807749169694,0.7878160127617233,0.5520314819156746,0.8150169799578081,0.3192426277246232,0.5191076963095558,0.8185814841802787,0.8381694094888458,0.7539374693385074,-0.1428369787822605,0.3466463650577428,0.5611035130194509,0.4690402052506888,0.8017439623009079,-0.2722916917921959,0.833189224592743,0.6316598353279541,0.7475436167908227
INDUSINDBK,0.1578113955939028,-0.2172412536636033,-0.5311449863440156,0.6607287267446016,-0.0783397423174773,-0.3301436570176265,0.0544828701227442,0.3984303605292361,-0.5247617469259125,-0.6329328598838847,-0.2922113280225482,-0.177797759043292,-0.4864644955803587,-0.1384137915350378,-0.3481712292429802,-0.4698487174101723,-0.4779341166899687,-0.3932550600620714,-0.1845780408985722,-0.1987095669500454,-0.1300762209597701,-0.2653900149445251,0.1929767845662702,-0.6752204860676265,1.0,-0.3444087823727942,-0.0570311797269306,-0.4543825785506085,0.3992819676673959,0.0035581059590312,-0.5769836582351785,-0.2145694294134972,0.784370023896274,-0.4306932950866987,-0.2912791140545651,-0.5244165002153919,0.2150083371801337,-0.1046082589297847,-0.6699417335767246,-0.4757338944544311,-0.5296298578948122,0.5976022281734047,0.0975926731740892,-0.1712112178727008,-0.244084945989803,-0.6527560615368783,0.6956403250647346,-0.5045713031778796,-0.2236516352819585,-0.5116408706638501
INFY,0.2397832659084204,0.4785825260675299,0.6581918813639254,0.0023281190226057,0.1686067510238908,0.5170071244042952,0.4615696191225655,-0.1259309532301841,0.3819979562368694,0.5872161146669526,0.5371283990981731,0.5238250165815106,0.6467084812920444,0.495335491650738,0.7403838406598484,0.2404918301204238,0.5761642657904363,0.8440023498656612,0.0480578039860951,0.5930178401205805,0.4767815384585165,0.2309401702962054,0.4882274129843638,0.5414249495228831,-0.3444087823727942,1.0,0.4274867409887908,0.4402502809362147,0.180602131652212,0.1586434509731401,0.3951116025963996,0.2594047047751676,-0.1554089143494393,0.5732814174850784,0.6010223853392331,0.5533188979972223,0.3715699090400207,0.7205367435345096,0.3003373624301507,0.7230178744714055,0.6958839344043433,0.3013102190741132,0.3716481037132394,0.0933663726429676,0.8355916914119136,0.8323422226703656,0.0968775759799676,0.5808842258199348,0.527564979555155,0.6878531449129675
ITC,-0.0249789528939767,0.1574129391136585,0.3369159157642753,0.5522873931071425,0.0884813098905476,0.2935386594866598,0.6180207899928649,0.2938936472044499,0.1354976593819148,0.3210829589211133,0.1278627300211962,0.6082375264938283,0.1621294559404654,0.1365616323797522,0.3179328991545824,0.3889108820549144,0.2714045422774674,0.2642950891271143,0.4164422367257392,0.690947468648728,0.1245458709061682,0.2786769799834955,0.6201166174498562,0.2091182631236443,-0.0570311797269306,0.4274867409887908,1.0,0.3010902855900756,0.1907048900561657,0.1788897723148269,0.1388610700002496,0.0761186702754812,0.0559669719776085,0.3875044874611421,0.124228794232224,0.1097044414410508,-0.217715742698215,0.6344533117772179,-0.1399600183200698,0.3836165532944605,0.2924046610711085,0.1643267520032028,0.0603999767338432,-0.1850861050258367,0.3403417266986712,0.4075041108682963,0.2226375010963271,0.3069335067940268,0.2930461683580289,-0.0443073361817468
JSWSTEEL,0.3497449992282977,0.5642866628755937,0.6150031992946384,-0.1450320301946769,0.6278035652939422,0.7390200159078728,0.5482491395451559,0.0932980861304143,0.7280041638789855,0.798590386342111,0.4590746963717884,0.6484244629808856,0.5333055795086676,0.4383978545353895,0.4520281850722131,0.7430321763073524,0.7802932469010975,0.5235525741622238,0.5824258634344713,0.3972359486342411,0.5907454123483165,0.7852038780030178,0.1739460989690892,0.796139778806638,-0.4543825785506085,0.4402502809362147,0.3010902855900756,1.0,0.2809646833538601,0.4422327573384814,0.8148307290952909,0.5241615251453324,-0.0678560949061409,0.7407449609001092,0.2614689038439491,0.5997668571530144,0.1702315579551993,0.404492781622766,0.5711859557917908,0.7062860421788499,0.5983916776604503,-0.1774785231562204,0.1488624235824241,0.7109410596644966,0.302045134391725,0.7273098506581297,-0.0663145604305019,0.776935219115385,0.6973914803238718,0.6243724818319285
KOTAKBANK,0.4593130188051634,0.2747964440835863,0.1021599760246155,0.408419726206356,0.3721572784556533,0.0470427078523705,0.3088350176211576,0.4081659050013321,0.1794517060624313,-0.0635225847899667,-0.1025762969513771,0.3146915079117378,-0.0844761846582255,0.0810040642375296,0.0998048587695867,-0.0406513366316792,0.1324284779695474,0.2100260819961278,0.4800474786071375,0.3330256054763322,0.1895696745646344,0.213375805223573,0.3006438002841114,-0.0039552434940178,0.3992819676673959,0.180602131652212,0.1907048900561657,0.2809646833538601,1.0,0.4165831008089694,0.01537650360527,-0.0905014376613756,0.5293013964108626,0.1145955916505082,-0.1205297559090008,-0.0904889961424219,0.3337254214077764,0.1501523042614448,-0.2652030452763282,0.077096128210717,-0.0788068637559487,0.2941962173736803,-0.0315971318652372,0.1212096402475015,-0.062709917235989,0.080389153148462,0.3947486522248857,-0.0395949729823828,0.4720825559112945,0.2096689383522114
